Name,Gender,Marks,Location,Selected
Student1,Male,85,Urban,1
Student2,Female,88,Urban,1
Student3,Male,75,Rural,0
Student4,Female,92,Urban,1
Student5,Male,82,Urban,1
Student6,Female,78,Rural,0
Student7,Male,90,Rural,1
Student8,Female,85,Rural,0
Student9,Male,88,Urban,1
Student10,Female,91,Urban,1
Student11,Male,79,Rural,0
Student12,Female,84,Urban,1
Student13,Male,81,Urban,1
Student14,Female,89,Urban,1
Student15,Male,83,Rural,0
Student16,Female,77,Rural,0
Student17,Male,88,Urban,1
Student18,Female,90,Rural,1
Student19,Male,74,Rural,0
Student20,Female,81,Urban,0
